Conference,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Alamo,Washington,Oklahoma,Texas,Washington St,TCU,Oklahoma St,TCU,UCLA,Oregon,Texas,Baylor,Oklahoma St,Texas Tech,Missouri,Penn St,Texas,Nebraska,OSU,Nebraska,Wisconsin,Iowa,Nebraska,Penn St,Purdue,Purdue,Iowa,Texas A&M,Washington St,California,-,-,-,-,-,-,-,-,-,-,-,-,-
Armed Forces,Air Force,Army,Tulane,Army,Army,Louisiana Tech,California,Houston,Navy,Rice,BYU,Army,Air Force,Houston,California,Utah,Kansas,Cincinnati,Boise St,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Birmingham,ECU,Houston,Cincinnati,Wake Forest,USF,USF,Auburn,Florida,Vanderbilt,Ole Miss,SMU,Pitt,UConn,Rutgers,Cincinnati,USF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guaranteed Rate,Wisconsin,Minnesota,Air Force,TCU,Kansas St,Baylor,West Virginia,Oklahoma St,Kansas St,Michigan St,Oklahoma,Iowa,Iowa St,Kansas,Oklahoma St,Texas Tech,Arizona St,Oregon St,California,Pitt,Syracuse,Iowa St,Colorado,Missouri,Arizona,Wisconsin,Texas Tech,BYU,Kansas St,Washington St,Indiana,California,Arizona,,,,,,,,,
Citrus,LSU,Kentucky,Alabama,Kentucky,Notre Dame,LSU,Michigan,Missouri,S Carolina,Georgia,S Carolina,Alabama,Penn St,Georgia,Michigan,Wisconsin,Wisconsin,Iowa,Georgia,Auburn,Tennessee,Michigan,Michigan St,Michigan,Florida,Tennessee,Tennessee,Alabama,Penn St,Georgia,California,Georgia Tech,Illinois,Clemson,Clemson,Auburn,OSU,Georgia,Tennessee,Auburn,Missouri,Florida
Gator,Notre Dame,Wake Forest,Tennessee,Texas A&M,Mississippi St,Georgia Tech,Georgia,Tennessee,Nebraska,Northwestern,Florida,Mississippi St,FSU,Nebraska,Texas Tech,West Virginia,Virginia Tech,FSU,Maryland,NC State,FSU,Virginia Tech,Miami,Georgia Tech,UNC,UNC,Syracuse,Tennessee,Alabama,Florida,Oklahoma,Michigan,Clemson,Georgia,LSU,Clemson,FSU,Oklahoma St,Florida,FSU,UNC,Pitt
Hawaii Bowl,MTSU,-,Hawaii,Louisiana Tech,Fresno St,Hawaii,SDSU,Rice,Oregon St,SMU,SMU,Tulsa,SMU,Notre Dame,ECU,Hawaii,Nevada,Hawaii,Hawaii,Tulane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
First Responder,Memphis,Air Force,WKU,-,Utah,Army,Washington,Louisiana Tech,North Texas,Oklahoma St,Houston,Texas Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Holiday,Oregon,-,Iowa,Northwestern,Michigan St,Minnesota,Wisconsin,USC,Texas Tech,Baylor,Texas,Washington,Nebraska,Oregon,Texas,California,Oklahoma,Texas Tech,Washington St,Kansas St,Texas,Oregon,Kansas St,Arizona,Colorado St,Colorado,Kansas St,Michigan,OSU,Hawaii,Iowa,Texas A&M,Penn St,Oklahoma St,Iowa,Iowa,Arkansas,BYU,BYU,OSU,BYU,BYU
Independence,Houston,UAB,Louisiana Tech,Duke,FSU,NC State,Virginia Tech,S Carolina,Arizona,Ohio,Missouri,Air Force,Georgia,Louisiana Tech,Alabama,Oklahoma St,Missouri,Iowa St,Arkansas,Ole Miss,Alabama,Mississippi St,Ole Miss,Ole Miss,LSU,Auburn,LSU,Virginia,Virginia Tech,Wake Forest,Georgia,Maryland,Oregon,USM,Washington,Ole Miss,Minnesota,Air Force,Air Force,Wisconsin,Texas A&M,USM
