Conference,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
SEC,Georgia,Alabama,LSU,Alabama,Georgia,Alabama,Alabama,Alabama,Auburn,Alabama,LSU,Auburn,Alabama,Florida,LSU,Florida,Georgia,Auburn,LSU,Georgia,LSU,Florida,Alabama,Tennessee,Tennessee,Florida,Florida,Florida,Florida,Alabama,Florida,Tennessee,Ala/Aub/Tenn,Aub/LSU,Auburn,LSU,Tennessee,Florida,Auburn,Georgia,Ala/Georg,Georgia
B10,Michigan,Michigan,OSU,OSU,OSU,Penn St,MIchigan St,OSU,Michigan St,Wisconsin,Wisconsin,Wisconsin/Michigan St/OSU,OSU,OSU/Penn St,OSU,OSU,OSU/Penn St,Iowa/Mich,Michigan,Iowa/OSU,Illinois,Mich/NW/Purdue,Wisconsin,Mich/OSU,Michigan,NW/OSU,Northwestern,Penn St,OSU/Wisc,Michigan,Michigan,Illinois/Iowa/Mich,Michigan,Michigan,Michigan St,Michigan St,Iowa,OSU,Illinois,Michigan,Iowa/OSU,Michigan
Big 12/B8,Kansas St,Baylor,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,TCU/Baylor,Baylor,Kansas St/Oklahoma,Oklahoma St,Oklahoma,Texas,Oklahoma,Oklahoma,Oklahoma,Texas,Oklahoma,Kansas St,Oklahoma,Colorado,Oklahoma,Nebraska,Texas A&M,Nebraska,Texas,Nebraska,Nebraska,Nebraska,Nebraska,Colo/Nebraska,Colorado,Colorado,Nebraska,Oklahoma,Oklahoma,Oklahoma,Neb/Okla,Nebraska,Nebraska,Nebraska,Oklahoma
Pac 12,Utah,Utah,Oregon,Washington,USC,Washington,Stanford,Oregon,Stanford,Stanford,Oregon,Oregon,Oregon,USC,ASU/USC,Cal/USC,USC,USC,USC,USC/Wash,Oregon,Oregon/OSU/Wash,Stanford,UCLA,UCLA/Wash St,Arizona St,USC/Wash,Oregon,Ariz/USC/UCLA,Stan/Wash,Washington,Washington,USC,USC,USC/UCLA,Arizona St,UCLA,USC,UCLA,UCLA,Washington,Washington
ACC,Clemson,Pitt,Clemson,Clemson,Clemson,Clemson,Clemson,FSU,FSU,FSU,Clemson,Virginia Tech,Georgia Tech,Virginia Tech,Virginia Tech,Wake Forest,FSU,Virginia Tech,FSU,FSU,Maryland,FSU,FSU,FSU/G Tech,FSU,FSU,FSU/Virg,FSU,FSU,FSU,Clemson,Georgia Tech,Duke/Virg,Clemson,Clemson,Clemson,Maryland,Maryland,Maryland,Clemson,Clemson,UNC
Mountain West,Fresno St,Utah St,Boise St,Fresno St,Boise St,SDSU,SDSU,Boise St,Fresno St,Fresno St/SDSU/BSU,TCU,TCU,TCU,Utah,BYU,BYU,TCU,Utah,Utah,Colorado St,BYU,Colorado St,BYU/Colo St/UT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AAC,Tulane,Cincinnati,Memphis,UCF,UCF,Temple,Houston,Cinci/Memphis/UCF,UCF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sun Belt,Troy,Louisiana,App St,App St,App St/Troy,App St/Ark St,Arkansas St,Georgia Southern,Ark St/Louisiana,Arkansas St,Arkansas St,Florida Int/Troy,Troy,Troy,FA/Troy,MTSU/Troy,-,NTU,NTU,NTU,MTSU/NTU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Southwest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Texas,Literally all of TX,Texas A&M,Texas A&M,Texas A&M,Texas,Arkansas,Arkansas,Texas A&M,Texas A&M,Texas A&M,Houston/SMU,Texas,SMU,SMU,Baylor
Big West,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boise St,Boise St,Idaho,Nevada/USU,Nevada/USU,Nevada,Loui/Nev/UNLV,Loui/USU,Nevada,Fresno St/SJSU,SJSU,Fresno St,Fresno St,SJSU,SJSU,Fresno St,CSF,CSF,Fresno St,SJSU,LBS
MAC,Toledo,NIU,M-Oh,NIU,Toledo,WMU,BGSU,NIU,BGSU,NIU,NIU,M-Oh,CMU,Buffalo,CMU,CMU,Akron,Toledo,M-Oh,Marshall,Toledo,Marshall,Marshall,Marshall,Marshall,Ball St,Toledo,CMU,Ball St,BGSU,BGSU,CMU/Toledo,Ball St,WMU,EMU,M-Oh,BGSU,Toledo,NIU,BGSU,Toledo,CMU
WAC,-,-,-,-,-,-,-,-,-,Utah St,Louisiana Tech,Boise/Hawaii/Nev,Boise St,Boise St,Hawaii,Boise St,Boise St/Nevada,Boise St,Boise St,Boise St,Louisiana Tech,TCU/UTEP,Fresno/Hawaii/TCU,Air Force,Colorado St,BYU,AF/BYU/CSt/UT,Colorado St,BYU/Fresno/Wyo,BYU/Fresno/Hawaii,BYU,BYU,BYU,Wyoming,Wyoming,SDSU,AF/BYU,BYU,BYU,BYU,BYU,BYU
Big East,-,-,-,-,-,-,-,-,-,Cinci/Louisville,Cinci/Louisville/WVU,Cinci/Pitt/WVU,Cincinnati,Cincinnati,UConn/W Virg,Louisville,West Virginia,-,Miami/W Virg,Miami,Miami,Miami,Virginia Tech,Syracuse,Syracuse,Miami/Syra/VTech,Miami/VTech,Miami,West Virginia,Miami,Miami,-,-,-,-,-,-,-,-,-,-,-
CUSA,UTSA,UTSA,FAU,UAB,FAU,WKU,WKU,Marshall,Rice,Tulsa,USM,UCF,ECU,ECU,UCF,Houston,Tulsa,Louisville,USM,Cinci/TCU,Louisville,Louisville,USM,Tulane,USM,Houston/USM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MVC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tulsa,Tulsa,Tulsa,Tulsa,Drake/Tulsa,Tulsa
