Team,Logo,42,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Georgia,,67,11,15,7,7,6,1,5,5,2,8,7,6,5,6,4,4,7,6,4,7,8,6,3,6,4,3,4,3,3,4,0,2,3,6,2,2,2,7,5,2,1,4
TCU,,30,8,0,5,3,3,1,5,2,1,2,2,5,3,5,0,2,3,1,1,2,1,6,0,0,2,1,0,2,0,0,1,2,3,4,3,0,2,3,3,3,1,0
Michigan,,53,9,5,10,5,2,11,3,3,3,2,3,2,3,2,6,7,3,3,4,6,4,5,6,4,5,3,5,5,1,6,6,7,4,3,3,5,4,1,2,7,7,4
OSU,,71,6,6,10,9,7,7,12,5,6,3,4,5,4,7,3,8,9,3,14,5,8,6,6,8,0,7,4,8,5,4,3,3,3,4,8,4,4,3,6,4,3,8
Alabama,,89,10,7,9,10,12,10,7,7,8,9,8,5,7,4,0,3,5,4,4,5,4,3,3,1,4,3,5,5,6,6,4,3,3,5,3,8,4,2,2,4,3,5
Tennessee,,28,5,5,2,0,3,6,0,0,3,4,1,2,6,1,3,6,5,3,4,8,10,5,9,6,8,3,8,6,5,2,9,9,6,2,6,4,5,7,6,6,4,5
Penn St,,46,6,8,5,6,6,1,5,3,3,3,4,2,6,5,2,5,6,0,4,6,2,4,4,2,3,3,10,5,4,8,9,6,4,6,4,13,3,4,8,9,10,7
Washington,,33,0,4,2,8,5,5,2,4,2,1,2,2,2,0,0,2,1,2,4,0,3,5,2,2,10,3,3,5,1,6,11,5,6,5,4,9,4,7,3,11,2,5
Tulane,,11,2,0,2,1,2,1,0,2,1,0,0,0,0,1,1,0,1,1,2,0,1,1,1,1,0,1,0,0,1,0,0,1,1,2,2,1,1,2,2,1,3,2
Utah,,34,3,1,7,5,1,8,1,4,2,2,1,2,6,4,0,2,2,5,0,3,2,2,3,1,2,0,1,4,2,0,1,0,1,0,0,0,2,0,0,0,5,3
FSU,,48,2,1,2,2,6,4,2,11,7,11,4,3,3,1,3,5,8,9,5,6,2,8,7,4,9,7,4,9,6,6,6,5,7,6,4,1,6,4,2,0,3,5
USC,,39,4,3,2,4,4,5,4,6,3,4,3,9,7,11,10,5,11,5,4,5,2,3,5,5,1,4,6,6,4,3,5,8,10,5,2,4,9,5,4,11,5,9
Clemson,,53,6,2,7,6,3,6,9,5,5,4,4,6,5,4,2,5,3,3,2,2,0,3,0,6,5,2,3,1,2,5,4,8,3,5,3,4,0,6,6,10,6,2
Kansas St,,18,4,2,0,2,1,2,1,2,1,3,1,1,1,1,2,3,1,1,2,4,6,6,5,6,1,2,1,2,2,0,3,0,1,0,1,0,2,0,0,0,1,1
Oregon,,33,6,1,4,4,2,0,2,5,4,5,4,1,3,6,3,3,4,2,4,3,6,1,2,3,2,3,3,3,2,1,2,1,4,3,3,2,3,0,2,2,3,2
